week,visits,unique_visitors,total_pages,total_time_hours,political_score,quality_index,ad_total_size_pct
2022-W37,317631,206030,704830.000001992,102843.0661111111,0.0,-0.007118190476190482,418.17
2022-W38,421464,276130,852173.000010935,120172.8763888889,0.0,-0.1301794680851064,7.54
2022-W39,456287,296575,1223985.999976946,198538.1102777778,9.523809523809524,-0.019449224489795917,29.35
2022-W40,392615,271983,842323.000007823,195056.4019444445,11.11111111111111,0.043025675675675674,112.14
2022-W41,469179,278510,1102956.000102232,131319.5830555556,15.476190476190476,0.04002806521739129,71.58
2022-W42,404846,250396,1275185.999992945,240824.3491666667,15.909090909090908,-0.1495350588235294,78.21
2022-W43,493584,290785,1162638.000064152,222561.2455555556,8.333333333333334,-0.008855653061224503,57.83
2022-W44,472010,287510,1199151.000043122,194364.4852777778,8.823529411764705,0.09670236842105263,87.39
2022-W45,475352,303160,1000543.999992567,276792.6175,11.11111111111111,0.15463270833333334,42.71
2022-W47,468859,295525,1081545.999986064,285687.0969444445,-3.8461538461538463,-0.058469977272727264,0.91
2022-W48,478723,295762,1086558.000019592,308525.7108333333,10.869565217391305,0.03154888372093024,15.23
2022-W49,438058,296431,905731.999961391,168346.2105555556,-16.666666666666668,0.06589781818181817,67.62
2022-W50,460740,277124,1064383.99999819,219594.3708333333,12.790697674418606,0.0066945208333333344,65.84
2022-W51,419643,242002,934264.999993279,224571.1119444444,-13.636363636363637,0.0027129,25.73
2023-W01,425724,229713,1283187.000063709,267118.9347222222,8.823529411764707,0.060778,33.6
2023-W02,405749,268606,1422771.000062198,295175.9213888889,18.6046511627907,-0.03608580851063829,88.47
2023-W04,401845,236170,886387.999971473,132674.0819444444,-8.064516129032258,0.1321254722222222,120.82
2023-W05,403464,243130,1256255.000064788,294928.2080555555,0.0,0.11272943902439025,46.07
2023-W06,446148,280944,1223825.999970229,262137.3677777778,0.0,-0.010859314285714298,85.04
2023-W07,504764,259026,1370098.000059815,288670.8794444444,10.714285714285715,0.17853154054054055,14.71
2023-W08,681310,357733,1611166.000127366,339767.6052777778,8.333333333333334,-0.10427043902439025,124.43
2023-W09,671165,383188,1336780.000070241,325963.6416666667,3.846153846153846,-0.03705907500000001,64.99
2023-W10,475984,267924,1337033.999987703,336768.2366666667,-9.523809523809522,0.02291500000000001,54.54
2023-W11,500895,289522,1025536.000070932,237208.1341666667,1.5151515151515151,0.03136487719298246,81.89
2023-W12,470621,281041,897471.999929702,237269.0891666667,3.4482758620689653,0.0656129111111111,84.28
2023-W13,493921,279769,1101811.999953561,295298.6908333334,10.0,0.061386930232558146,51.33
2023-W14,353436,230393,638972.0000170779,88322.07638888889,9.25925925925926,0.038537724999999995,37.12
2023-W15,425483,244280,869552.0000455229,177441.9822222222,8.881784197001252e-16,-0.07478689285714284,36.35
2023-W17,503097,268924,1115139.999911269,195861.5391666667,12.5,-0.059470861111111106,36.2
2023-W18,446098,261358,857329.000028703,189151.5372222222,-3.333333333333333,-0.12287441463414633,8.99
2023-W19,330358,204205,711702.999997685,191883.5541666667,19.35483870967742,0.13422819047619047,89.19
2023-W20,398689,230288,851417.999981123,157993.6966666667,27.77777777777778,-0.05954121212121213,63.11
2023-W21,446865,283691,1007840.999963993,240422.4436111111,-11.11111111111111,0.009822722222222222,122.42
2023-W22,598280,317073,1249017.000027553,187970.4686111111,5.88235294117647,0.10563153846153846,77.00999999999999
2023-W24,397336,239191,966544.000035035,202594.3202777778,-3.125,0.0773281,83.85
2023-W25,374101,226561,1023845.000047751,260239.3116666667,2.7777777777777777,0.11888529268292684,45.08
2023-W26,400914,207122,898520.999966596,276943.2313888889,-1.5625,-0.02985006382978723,58.559999999999995
2023-W27,336205,214006,814429.0000413,211471.2525,5.76923076923077,-0.040709224999999995,181.81
2023-W28,443774,249239,1070449.999980151,254159.3175,0.0,-0.11912005172413793,19.63
2023-W29,401211,209913,853769.99998339,119423.5375,-1.388888888888889,0.056860375,20.32
2023-W30,470709,274650,1076115.999970725,177767.3008333333,-5.000000000000001,-0.0736666129032258,20.69
2023-W31,443764,243875,1042417.000049783,212201.2072222222,0.0,0.02722016666666665,69.82
2023-W32,386694,239672,907408.000003942,190954.2475,10.526315789473683,0.06743669047619047,47.459999999999994
2023-W33,410039,254376,1060776.999938737,188677.545,-3.846153846153847,0.130121125,75.79
2023-W34,329686,231319,727533.000057554,88382.18666666666,0.0,0.11681837499999999,3.23
2023-W35,383983,231255,1027912.000027817,139828.5002777778,16.666666666666664,0.08185348648648648,145.21
2023-W36,306887,237289,894106.999992259,63561.48833333333,12.068965517241375,0.08543872727272728,85.69
2023-W37,346247,214837,830423.000001966,60336.67111111111,7.6923076923076925,-0.06246965714285716,74.17
2023-W38,308720,223157,828612.999993627,107121.1269444444,4.3478260869565215,-0.04251699999999999,61.65
2023-W39,369350,256285,830817.999961772,82837.78861111111,4.3478260869565215,0.04228237037037036,50.03
2023-W40,367797,260802,1176830.999955786,87645.06805555556,0.0,0.05765780555555555,104.56
2023-W41,327735,240326,1080389.000045058,70139.03944444444,-4.166666666666666,0.13187936170212766,68.22
2023-W42,290368,216108,567443.000014231,44859.69666666666,2.7777777777777777,0.003471105263157892,55.52
2023-W43,329021,233418,695884.999988201,81005.95722222222,0.0,0.03667917777777778,75.71000000000001
2023-W44,349107,215051,872506.999965676,145418.8447222222,0.0,-0.03402648979591837,81.63
2023-W45,356377,237432,717731.999998886,68819.71472222223,1.9230769230769231,0.017151957446808513,44.97
2023-W46,341520,222274,712718.000016394,87540.07027777778,-3.846153846153847,-0.0007631290322580693,36.44
2023-W47,250177,186453,575738.9999828,84022.35833333334,-3.4482758620689653,0.08339469565217392,72.96000000000001
2023-W48,327664,232384,748438.000011649,65933.75166666666,3.125,0.02304536842105263,26.1
2023-W49,396490,286557,871675.000022265,76844.94027777777,1.7857142857142856,-0.09908794,46.53
2023-W52,261193,181252,665826.000013659,95980.39972222222,0.0,0.04868539024390244,17.64
2024-W01,314643,192159,598380.000059292,41273.03777777778,5.263157894736842,-0.061268846153846146,33.18
2024-W02,306050,198241,734310.999974083,75564.16277777778,0.0,0.08104070454545455,42.43
2024-W03,357147,205559,825855.999967996,90681.615,-6.25,-0.11874521212121211,85.93
2024-W04,293967,212503,728982.000022752,59947.45861111111,0.0,-0.07434047727272727,10.59
2024-W05,353098,209133,747148.9999613729,80578.485,-2.083333333333333,0.0497515,113.78999999999999
2024-W06,303905,199647,666312.999929521,59135.47583333333,0.0,0.05766988636363637,67.56
2024-W07,273733,159225,866899.0000026941,91533.6836111111,13.636363636363638,-0.08037966666666665,86.67
2024-W09,385507,251634,873084.0000616449,76542.40194444444,8.695652173913043,0.054445875,144.88
2024-W10,298324,206131,743962.999978618,89885.77555555555,16.666666666666664,0.060473,6.62
2024-W11,283405,222179,595793.000024713,84616.35666666667,0.0,-0.03936612121212121,34.02
2024-W12,316464,193257,659239.999999708,82678.87333333334,-6.25,0.05773748936170213,76.77
2024-W13,275718,196502,580201.999945591,47759.68444444444,-3.571428571428571,-0.05331816326530612,35.72
2024-W14,320492,226558,910122.999986612,87212.60694444444,15.0,0.051044124999999996,102.02
2024-W15,293281,190198,888819.000026396,154588.9169444444,0.0,0.04662878000000001,47.91
2024-W16,318337,216626,851899.9999203051,141481.9986111111,7.692307692307693,0.00678313043478261,23.81
2024-W17,331989,209674,940571.0000100461,170895.5652777778,1.9230769230769231,0.0726574,34.49
2024-W18,262397,177309,646158.999995463,80855.23444444445,0.0,0.009572124999999999,37.010000000000005
2024-W20,286746,204786,829056.999978257,197211.0688888889,8.928571428571429,-0.02206768,40.14
2024-W21,345388,215083,1057939.000064016,216300.1955555555,2.083333333333334,0.10856525,11.78
2024-W23,344183,188658,933399.999999092,174765.0916666667,8.333333333333332,0.0740222,41.36
2024-W24,340205,198394,826520.000011681,103118.2322222222,-2.6315789473684204,-0.03875187234042554,0.94
2024-W33,332040,188881,980116.999948747,147434.4655555556,11.11111111111111,0.07242687272727273,89.39999999999999
2024-W34,328974,193657,1032621.999958016,169271.8330555556,5.0,0.03271670270270271,49.45
